,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
82,"Superman Action Comics Vol.2 #22: Atomic Knights, Part One",Scott Lobdell,Superhero,"July 3rd, 2013",DC Comics,Comic Book,"Tyler Kirkham, Arif Prianto, Carlos M. Mangual",44,,No,$3.99,No,N/A
83,Dark Web: Ms. Marvel (2022-2023) #2 (of 2) ,Sabir Pirzada,Superhero,"January 11th, 2023",Marvel,Comic Book,"Francesco Mortarino, Ariana Maher, Dono Sánchez-Almara",23,,No,$3.99,No,N/A
84,Doctor Strange: Fall Sunrise (2022-) #1 (of 4),Tradd Moore,Superhero,"November 23rd, 2022",Marvel,Comic Book,"Tradd Moore, Heather Moore",30,,No,$4.99,No,N/A
85,Doctor Strange: #1 (LGY #427),Jed MacKay,Superhero,"March 22nd, 2023",Marvel,Comic Book,"Pasqual Ferry, Hollingsworth, MacDonald, Herring",42,,No,$4.99,No,N/A
86,X-Men: Before The Fall - Sons Of X (2023) #1,Sumon Spurrier ,Superhero,"May 3rd, 2023",Marvel,Comic Book,"Phil Noto, Clayton Cowles, Sarah Brunstad",35,,No,$4.99,No,N/A
87,Warlock Vol 2 #5,Jim Starlin,Superhero,"January 18th, 1983",Marvel,Comic Book,"Jim Starlin, Tom Orzechowski",48,,No,$2.00,No,N/A
88,Dragon Ball Vol. 1,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,175,5.0/5,Yes,$9.99,No,978-1-56931-920-8
89,Dragon Ball Vol. 2,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,189,4.75/5,Yes,$9.99,No,978-1-56931-921-5
90,Dragon Ball Vol. 3,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,177,4.9/5,Yes,$9.99,No,978-1-56931-922-2
91,Dragon Ball Vol. 4,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,183,4.65/5,Yes,$9.99,No,978-1-56931-923-9
92,Dragon Ball Vol. 5,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,177,4.35/5,Yes,$9.99,No,978-1-56931-924-6
93,Dragon Ball Vol. 6,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,179,3.75/5,Yes,$9.99,No,978-1-56931-925-3
94,Dragon Ball Vol. 7,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,179,4.25/5,Yes,$9.99,No,978-1-56931-926-0
95,Dragon Ball Vol. 8,Akira Toriyama,Shonen,"May 7th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,177,4.8/5,Yes,$9.99,No,978-1-56931-927-7
96,Dragon Ball Vol. 9,Akira Toriyama,Shonen,"May 7th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,177,4.5/5,Yes,$9.99,No,978-1-56931-928-4
97,Dragon Ball Vol. 10,Akira Toriyama,Shonen,"May 7th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,181,4.25/5,Yes,$9.99,No,978-1-56931-929-1
98,Dragon Ball Vol. 11,Akira Toriyama,Shonen,"May 7th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,179,4.75/5,Yes,$9.99,No,978-1-56931-919-2
99,Dragon Ball Vol. 12,Akira Toriyama,Shonen,"September 3rd, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,179,4.85/5,Yes,$9.99,No,978-1-59116-155-4
100,Dragon Ball Vol. 13,Akira Toriyama,Shonen,"November 19th, 2003",VIZ Media LLC,Paperback ,Akira Toriyama,179,5.0/5,Yes,$9.99,No,978-1-59116-148-6
101,Dragon Ball Vol. 14,Akira Toriyama,Shonen,"February 18th, 2004",VIZ Media LLC,Paperback ,Akira Toriyama,177,4.0/5,Yes,$9.99,No,978-1-59116-169-1
102,Dragon Ball Vol. 15,Akira Toriyama,Shonen,"May 19th, 2004",VIZ Media LLC,Paperback ,Akira Toriyama,177,5.0/5,Yes,$9.99,No,978-1-59116-297-1
103,Dragon Ball Vol. 16,Akira Toriyama,Shonen,"August 3rd, 2004",VIZ Media LLC,Paperback ,Akira Toriyama,205,5.0/5,Yes,$9.99,No,978-1-59116-457-9
104,Dragon Ball Z Vol. 1,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,147,4.0/5,Yes,$9.99,No,978-1-56931-930-7
105,Dragon Ball Z Vol. 2,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,175,4.5/5,Yes,$9.99,No,978-1-56931-931-4
106,Dragon Ball Z Vol. 3,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,175,4.75/5,Yes,$9.99,No,978-1-56931-932-1
107,Dragon Ball Z Vol. 4,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,175,4.85/5,Yes,$9.99,No,978-1-56931-933-8
108,Dragon Ball Z Vol. 5,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,177,4.8/5,Yes,$9.99,No,978-1-56931-934-5
109,Dragon Ball Z Vol. 6,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,175,4.5/5,Yes,$9.99,No,978-1-56931-935-2
